Sr. No.,Assigned To,Company Name,Website,Contact Person,Designation,Phone Number,Email ID,Website Verified,Scan Completed,Screenshot Taken,Screenshot attached,Wave Score,Axe Score,LH Score
"1","Unassigned","Reliance Industries Limited","https://www.ril.com","N/A","Head of Compliance & Digital Governance","+91-22-30288603","compliance@ril.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Reliance_Industries_Limited_WAVE_Tool_Screenshot.png)","","",""
"2","Unassigned","HDFC Bank Limited","https://www.hdfcbank.com","N/A","Head of Compliance & Digital Governance","+91-22-27184196","info@hdfcbank.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/HDFC_Bank_Limited_WAVE_Tool_Screenshot.png)","7","7","72"
"3","Unassigned","ICICI Bank Limited","https://www.icicibank.com","N/A","Head of Compliance & Digital Governance","+91-22-19430561","marketshelpdesk@icici.bank.in","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/ICICI_Bank_Limited_WAVE_Tool_Screenshot.png)","","","100"
"4","Unassigned","State Bank of India","https://sbi.co.in","N/A","Head of Compliance & Digital Governance","+91-22-69101472","info@sbi.co.in","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/State_Bank_of_India_WAVE_Tool_Screenshot.png)","2","2","92"
"5","Unassigned","Axis Bank Limited","https://www.axisbank.com","N/A","Head of Compliance & Digital Governance","+91-22-89317226","PNO@axis.bank.in","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Axis_Bank_Limited_WAVE_Tool_Screenshot.png)","40","40","30"
"6","Unassigned","Kotak Mahindra Bank Limited","https://www.kotak.com","N/A","Head of Compliance & Digital Governance","+91-22-41072898","compliance@kotak.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Kotak_Mahindra_Bank_Limited_WAVE_Tool_Screenshot.png)","","",""
"7","Unassigned","Bank of Baroda","https://www.bankofbaroda.in","N/A","Head of Compliance & Digital Governance","+91-22-34894010","info@bankofbaroda.in","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Bank_of_Baroda_WAVE_Tool_Screenshot.png)","10","10","60"
"8","Unassigned","Punjab National Bank","https://www.pnbindia.in","N/A","Head of Compliance & Digital Governance","+91-22-34719242","info@pnbindia.in","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Punjab_National_Bank_WAVE_Tool_Screenshot.png)","3","3","88"
"9","Unassigned","Canara Bank","https://canarabank.com","N/A","Head of Compliance & Digital Governance","+91-22-47371190","compliance@canarabank.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Canara_Bank_WAVE_Tool_Screenshot.png)","","",""
"10","Unassigned","Union Bank of India","https://www.unionbankofindia.co.in","N/A","Head of Compliance & Digital Governance","+91-22-19808765","compliance@unionbankofindia.co.in","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Union_Bank_of_India_WAVE_Tool_Screenshot.png)","","",""
"11","Unassigned","Federal Bank Limited","https://www.federalbank.co.in","N/A","Head of Compliance & Digital Governance","+91-22-99107323","info@federalbank.co.in","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Federal_Bank_Limited_WAVE_Tool_Screenshot.png)","5","5","80"
"12","Unassigned","IndusInd Bank Limited","https://www.indusind.com","N/A","Head of Compliance & Digital Governance","+91-22-84146237","compliance@indusind.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/IndusInd_Bank_Limited_WAVE_Tool_Screenshot.png)","","",""
"13","Unassigned","Bajaj Finance Limited","https://www.bajajfinserv.in","N/A","Head of Compliance & Digital Governance","+91-22-30410431","compliance@bajajfinserv.in","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Bajaj_Finance_Limited_WAVE_Tool_Screenshot.png)","","",""
"14","Unassigned","Bajaj Finserv Limited","https://www.bajajfinserv.in","N/A","Head of Compliance & Digital Governance","+91-22-44028354","compliance@bajajfinserv.in","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Bajaj_Finserv_Limited_WAVE_Tool_Screenshot.png)","","",""
"15","Unassigned","HDFC Life Insurance Company Limited","https://www.hdfclife.com","N/A","Head of Compliance & Digital Governance","+91-22-58819967","buyonline@hdfclife.in","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/HDFC_Life_Insurance_Company_Limited_WAVE_Tool_Screenshot.png)","247","247","30"
